patients.address_found,patients.city_found,patients.common_name,patients.county_found,patients.found_at,patients.disposition,patients.keywords,admissions.id,admissions.case_year,people.postal_code
South Street - Crows Pasture,East Dennis,Pine Warbler,Barnstable County,6/26/2019,Died in 24hr,Collision - Vehicle,971,2019,94112
Eastham Rotary,Eastham,Northern Flicker,Barnstable County,6/26/2019,Died +24hr,Collision - Vehicle,972,2019,2633
Cape Cod 5 Bank,Orleans,Eastern Gray Squirrel,Barnstable County,6/27/2019,Died in 24hr,Animal Interaction,973,2019,
Fisk Street,West Dennis,Common Snapping Turtle,Barnstable County,6/27/2019,Dead on arrival,Collision - Vehicle,974,2019,2670
935 Commercial Street,Provincetown,Common Grackle,Barnstable County,6/27/2019,Died +24hr,Fell from Nest,975,2019,
Sachemos Trail,Brewster,Common Grackle,Barnstable County,6/27/2019,Euthanized in 24hr,Collision - Vehicle,976,2019,
41 West Main Street,Wellfleet,Common Snapping Turtle,Barnstable County,6/27/2019,Euthanized in 24hr,Collision - Vehicle,977,2019,2139
1440 Freemans Way,Brewster,Eastern Box Turtle,Barnstable County,6/27/2019,Transferred,Collision - Vehicle,978,2019,2631
North Beach,Chatham,Northern Gannet,Barnstable County,6/27/2019,Euthanized +24hr,Behavioral Stranding,979,2019,2633
Route 6 Eastham Wellfleet line,Eastham,Eastern Painted Turtle,Barnstable County,6/28/2019,Transferred,Collision - Vehicle,980,2019,2642
Unknown,Unknown,Northern Flicker,,6/28/2019,Euthanized in 24hr,"Animal Interaction,orphan",981,2019,2631
38 Sea Street,Harwich Port,Mourning Dove,Barnstable County,6/28/2019,Released,,982,2019,1740
300 Pilgrim Spring Road,Wellfleet,Diamondback Terrapin,,6/28/2019,Transferred,Collision - Vehicle,983,2019,
249 George Ryder Road,Chatham,Eastern Cottontail,Barnstable County,6/28/2019,Died in 24hr,,984,2019,
98 Hazel Lane,Brewster,Great Black-backed Gull,Barnstable County,6/28/2019,Euthanized in 24hr,,985,2019,
16 Elm Street,Harwich,Eastern Cottontail,Barnstable County,6/28/2019,Euthanized in 24hr,Collision - Lawnmower,986,2019,2645
Route 6,Eastham,American Robin,Barnstable County,6/29/2019,Released,Collision - Window,987,2019,2653
1040 Queen Anne Road,East Harwich,Eastern Cottontail,Barnstable County,6/29/2019,Euthanized in 24hr,Animal Interaction - Cat,988,2019,2645
Beach,Provincetown,American Crow,Barnstable County,6/28/2019,Euthanized in 24hr,,989,2019,
50 Anawan Road,Wellfleet,Diamondback Terrapin,Barnstable County,6/29/2019,Euthanized in 24hr,"Collision - Vehicle, Injured",990,2019,2667
Beach,Provincetown,Common Eider,Barnstable County,6/29/2019,Died in 24hr,Behavioral Stranding,991,2019,5143
3152 Route 6,Wellfleet,Gray Catbird,Barnstable County,6/29/2019,Dead on arrival,,992,2019,
Cole Road Beach,Eastham,Herring Gull,Barnstable County,6/29/2019,Dead on arrival,,993,2019,
Unknown,Barnstable,Eastern Cottontail,Barnstable County,6/30/2019,Transferred,Nest/Habitat Disturbed,994,2019,2635
Unknown,Barnstable,Eastern Cottontail,Barnstable County,6/30/2019,Transferred,Nest/Habitat Disturbed,995,2019,
Unknown,Barnstable,Eastern Cottontail,Barnstable County,6/30/2019,Transferred,Nest/Habitat Disturbed,996,2019,
271 Bartlett Road,Plymouth,European Starling,,6/30/2019,Died in 24hr,Orphaned,997,2019,2360
1 Belmont Road,Harwich,American Robin,Barnstable County,6/30/2019,Euthanized in 24hr,"Collision - Window,orphan",998,2019,2631
43 Telegraph Road,Dennisport,Eastern Cottontail,Barnstable County,6/30/2019,Euthanized in 24hr,Entrapment - Window Well,999,2019,2639
Unknown,Brewster,Eastern Box Turtle,Barnstable County,6/30/2019,Euthanized +24hr,Collision - Vehicle,1000,2019,2638
21 Cranes Lane,Brewster,Big Brown Bat,Barnstable County,6/23/2019,Euthanized in 24hr,Rabies human contact,1001,2019,2631
133 Tonset Road,Orleans,Baltimore Oriole,Barnstable County,5/16/2019,Died in 24hr,,1002,2019,2653
Unknown,Provincetown,Gray Catbird,Barnstable County,5/16/2019,Dead on arrival,Orphaned,1003,2019,
23 Pleasant Street,Dennisport,House Finch,Barnstable County,5/16/2019,Died in 24hr,Orphaned,1004,2019,
23 Pleasant Street,Dennisport,House Finch,Barnstable County,5/16/2019,Died in 24hr,Orphaned,1005,2019,
1114 Alewife Circle,South Yarmouth,Eastern Cottontail,Barnstable County,5/16/2019,Transferred,Animal Interaction,1006,2019,
Jonny Keller Park,South Dennis,American Robin,Barnstable County,5/16/2019,Euthanized in 24hr,,1007,2019,
70 Azalea Drive,Harwich,American Goldfinch,Barnstable County,5/17/2019,Euthanized in 24hr,,1008,2019,2645
229 Brick Hill Road,Orleans,Eastern Cottontail,Barnstable County,5/17/2019,Released,Orphaned,1009,2019,2653
90 Finlay Road,Orleans,Baltimore Oriole,Barnstable County,5/17/2019,Released,Collision - Vehicle,1010,2019,2662
380 Park Street,Harwich,Eastern Cottontail,Barnstable County,5/17/2019,Released,"Collision - Mower, Nest/Habitat Disturbed, Animal Interaction - Hawk",1011,2019,
Unknown,Eastham,Eastern Cottontail,Barnstable County,5/18/2019,Transferred,"Orphaned, Inappropriate Human Possession",1012,2019,2642
Unknown,Eastham,Eastern Cottontail,Barnstable County,5/18/2019,Transferred,"Orphaned, Inappropriate Human Possession",1013,2019,2642
30 Bishop Road,Eastham,Eastern Cottontail,Barnstable County,5/18/2019,Transferred,Animal Interaction - Cat,1014,2019,2642
Breakwater Road,Brewster,Northern Cardinal,Barnstable County,5/18/2019,Died in 24hr,Collision - Vehicle,1015,2019,2631
Unknown,Provincetown,Red-breasted Merganser,Barnstable County,5/19/2019,Died in 24hr,Behavioral Stranding,1016,2019,2657
Harwich Library,Harwich,Gray Catbird,Barnstable County,5/19/2019,Euthanized in 24hr,Collision - Vehicle,1017,2019,2643
31 Pine Street,Dennisport,Eastern Cottontail,Barnstable County,5/19/2019,Euthanized in 24hr,Nest/Habitat Disturbed,1018,2019,2136
31 Pine Street,Dennisport,Eastern Cottontail,Barnstable County,5/19/2019,Euthanized in 24hr,Nest/Habitat Disturbed,1019,2019,2136
31 Pine Street,Dennisport,Eastern Cottontail,Barnstable County,5/19/2019,Euthanized in 24hr,Nest/Habitat Disturbed,1020,2019,2136
31 Pine Street,Dennisport,Eastern Cottontail,Barnstable County,5/19/2019,Euthanized in 24hr,Nest/Habitat Disturbed,1021,2019,2136
31 Pine Street,Dennisport,Eastern Cottontail,Barnstable County,5/19/2019,Euthanized in 24hr,Nest/Habitat Disturbed,1022,2019,2136
31 Pine Street,Dennisport,Eastern Cottontail,Barnstable County,5/19/2019,Euthanized in 24hr,Nest/Habitat Disturbed,1023,2019,2136
31 Pine Street,Dennisport,Eastern Cottontail,Barnstable County,5/19/2019,Euthanized in 24hr,Nest/Habitat Disturbed,1024,2019,2136
Tubman Road,Brewster,Eastern Cottontail,Barnstable County,5/19/2019,Euthanized in 24hr,Collision - Vehicle,1025,2019,2631
Monomoy National Seashore,Chatham,White-winged Scoter,Barnstable County,5/19/2019,Euthanized in 24hr,Collision,1026,2019,1527
Old Colony Road,Orleans,Eastern Cottontail,Barnstable County,5/19/2019,Died in 24hr,,1027,2019,2727
4 Beach Plum Way,Chatham,Black-capped Chickadee,Barnstable County,5/19/2019,Released,Collision - Vehicle,1028,2019,
MacMillian Wharf,Provincetown,Common Eider,Barnstable County,5/19/2019,Died in 24hr,,1029,2019,
517 Commercial Street,Provincetown,Common Eider,Barnstable County,5/20/2019,Died in 24hr,,1030,2019,
7 Dale Ann Drive,Orleans,Eastern Cottontail,Barnstable County,5/20/2019,Euthanized in 24hr,Animal Interaction - Dog,1031,2019,2131
Main Street,Orleans,Common Grackle,Barnstable County,5/21/2019,Died in 24hr,"Fell from Nest,orphan",1032,2019,
6 Drury Lane,Dennisport,Eastern Cottontail,Barnstable County,5/21/2019,Transferred,,1033,2019,2639
Massasoit Road,Eastham,White-footed Mouse,Barnstable County,5/21/2019,Died in 24hr,Animal Interaction - Cat,1034,2019,
near Salt Pond Visitor Center,Eastham,Baltimore Oriole,Barnstable County,5/22/2019,Died in 24hr,Collision - Vehicle,1035,2019,2630
245 Turnip Field Road,North Eastham,Eastern Cottontail,Barnstable County,5/22/2019,Euthanized in 24hr,Animal Interaction - Cat,1036,2019,2651
South Sunken Meadow Beach,Eastham,Common Eider,Barnstable County,5/22/2019,Died in 24hr,,1037,2019,
792 West Street  Apt. E304,Mansfield,Song Sparrow,Bristol County,5/22/2019,Euthanized in 24hr,,1038,2019,2048
Massassoit Road behind Ace hardware.,Eastham,Red Squirrel,Barnstable County,5/23/2019,Released,Collision - Vehicle,1039,2019,2651
13 Tryworks Road  P.O. Box 105,Truro,Eastern Cottontail,Barnstable County,5/23/2019,Died in 24hr,,1040,2019,2666
8 Anchor Drive,Orleans,Gray Catbird,Barnstable County,5/23/2019,Died in 24hr,,1041,2019,
Dyers Beach house,Provincetown,Red-breasted Merganser,Barnstable County,5/23/2019,Died in 24hr,Behavioral Stranding,1042,2019,
39 Rainbow Way,Harwich,House Finch,Barnstable County,5/23/2019,Dead on arrival,,1043,2019,2645
Unknown,Unknown,Virginia Opossum,,5/24/2019,Died in 24hr,"Orphaned, Parent Known Dead",1044,2019,
Unknown,Unknown,Virginia Opossum,,5/24/2019,Dead on arrival,"Orphaned, Parent Known Dead",1045,2019,
Unknown,Unknown,Virginia Opossum,,5/24/2019,Dead on arrival,"Orphaned, Parent Known Dead",1046,2019,
214 Pleasant Bay Road,Harwich,American Robin,Barnstable County,5/24/2019,Euthanized +24hr,orphan,1047,2019,2645
720 Tubman Road,Brewster,Eastern Cottontail,Barnstable County,5/24/2019,Died in 24hr,,1048,2019,2631
Defiance Lane,Orleans,European Starling,Barnstable County,5/24/2019,Released,,1049,2019,2642
Unknown,Brewster,Brown-headed Cowbird,Barnstable County,5/25/2019,Died in 24hr,,1050,2019,
1035 Great Pond Road,Eastham,American Crow,Barnstable County,5/25/2019,Dead on arrival,,1051,2019,2642
456 Pleasant Lake Avenue,Harwich,Mourning Dove,Barnstable County,5/25/2019,Euthanized in 24hr,orphan,1052,2019,2645
30 Wicklow Lane,Eastham,Raccoon,Barnstable County,5/25/2019,Transferred,Nest/Habitat Disturbed,1053,2019,
Ryder Beach,Truro,Common Loon,Barnstable County,5/26/2019,Euthanized in 24hr,Environmental - Wind,1054,2019,
Wellfleet Cove,Wellfleet,Common Eider,Barnstable County,5/26/2019,Dead on arrival,,1055,2019,10001
Route 6,Wellfleet,Eastern Box Turtle,Barnstable County,5/26/2019,Euthanized in 24hr,Collision - Vehicle,1056,2019,
120 Storrow Road,Brewster,Eastern Chipmunk,Barnstable County,5/30/2019,Died in 24hr,Entrapment - Bucket,1057,2019,2631
Stop & Shop,Provincetown,Eastern Cottontail,Barnstable County,5/30/2019,Euthanized in 24hr,,1058,2019,
Route 28,Harwich,Common Grackle,Barnstable County,5/30/2019,Released,Collision - Vehicle,1059,2019,2659
8 Betty Avenue,East Sandwich,Red-tailed Hawk,Barnstable County,5/30/2019,Euthanized in 24hr,,1060,2019,
Freemans Way,Brewster,Eastern Box Turtle,Barnstable County,5/31/2019,Euthanized in 24hr,Collision - Vehicle,1061,2019,2653
107 Woodside Road,West Barnstable,Red-tailed Hawk,Barnstable County,5/31/2019,Released,Fell from Nest,1062,2019,
9 Arrow Wood Drive,Eastham,Eastern Box Turtle,Barnstable County,5/31/2019,Euthanized in 24hr,Collision - Vehicle,1063,2019,2642
Hunan Gourmet parking lot off 6A,Orleans,Eastern Cottontail,Barnstable County,5/31/2019,Released,Animal Interaction,1064,2019,
12 Gilbert Lane,Harwichport,Virginia Opossum,Barnstable County,5/31/2019,Died +24hr,Orphaned,1065,2019,2646
14 Great Oak Road,Orleans,Eastern Cottontail,Barnstable County,5/31/2019,Released,Animal Interaction - Dog,1066,2019,2643
14 Great Oak Road P.O.,Orleans,Eastern Cottontail,Barnstable County,5/31/2019,Released,Animal Interaction - Dog,1067,2019,2643
Mill Hill Road,Wellfleet,Eastern Cottontail,Barnstable County,6/1/2019,Euthanized in 24hr,Animal Interaction - Cat,1068,2019,2667
120 Cross Cart Way,Eastham,American Robin,Barnstable County,6/1/2019,Released,Animal Interaction - Crows,1069,2019,2642
59 Main Street,Dennis,Eastern Cottontail,Barnstable County,6/1/2019,Euthanized in 24hr,Orphaned,1070,2019,
Freemans Way,Brewster,Eastern Box Turtle,Barnstable County,6/1/2019,Transferred,,1071,2019,
Freemans Way,Brewster,Eastern Box Turtle,Barnstable County,6/1/2019,Transferred,,1072,2019,
Freemans Way,Brewster,Eastern Box Turtle,Barnstable County,6/1/2019,Transferred,,1073,2019,
Freemans Way,Brewster,Eastern Box Turtle,Barnstable County,6/1/2019,Transferred,,1074,2019,
Freemans Way,Brewster,Eastern Box Turtle,Barnstable County,6/1/2019,Transferred,,1075,2019,
Freemans Way,Brewster,Eastern Box Turtle,Barnstable County,6/1/2019,Transferred,,1076,2019,
Freemans Way,Brewster,Eastern Box Turtle,Barnstable County,6/1/2019,Transferred,,1077,2019,
Freemans Way,Brewster,Eastern Box Turtle,Barnstable County,6/1/2019,Transferred,,1078,2019,
235 Pierce Road,Eastham,American Goldfinch,Barnstable County,6/2/2019,Euthanized in 24hr,Projectile,1079,2019,
Unknown,Brewster,Eastern Cottontail,Barnstable County,6/2/2019,Died in 24hr,Animal Interaction - Cat,1080,2019,
95 Chase Avenue,Dennisport,Red-tailed Hawk,Barnstable County,6/2/2019,Euthanized in 24hr,Collision,1081,2019,1543
Route 6A @ Paines Creek Road,Brewster,Great Black-backed Gull,Barnstable County,6/3/2019,Died in 24hr,Collision - Vehicle,1082,2019,2631
Near Nickerson - Crosby Lane,Brewster,Eastern Box Turtle,Barnstable County,6/3/2019,Released,,1083,2019,2631
60 Telegraph Road,Dennisport,Common Grackle,Barnstable County,6/3/2019,Died in 24hr,Collision,1084,2019,
Agway of Chatham,Chatham,Eastern Cottontail,Barnstable County,6/3/2019,Died in 24hr,,1085,2019,2633
Crocker Road,Brewster,Eastern Cottontail,Barnstable County,6/3/2019,Euthanized in 24hr,"Nest/Habitat Disturbed, Orphaned",1086,2019,2642
Crocker Road,Brewster,Eastern Cottontail,Barnstable County,6/3/2019,Euthanized in 24hr,"Nest/Habitat Disturbed, Orphaned",1087,2019,2642
Crocker Road,Brewster,Eastern Cottontail,Barnstable County,6/3/2019,Euthanized in 24hr,"Nest/Habitat Disturbed, Orphaned",1088,2019,2642
6 Driftwood Lane,South Harwich,Eastern Cottontail,Barnstable County,6/4/2019,Euthanized +24hr,Animal Interaction - Dog,1089,2019,2661
57 Round Cove Road,East Harwich,Eastern Screech Owl,Barnstable County,6/4/2019,Released,"Fell from Nest,orphan",1090,2019,
Orleans Windmill across from Stop & Shop,Orleans,Unidentified Songbird Egg,Barnstable County,6/4/2019,Died in 24hr,,1091,2019,
West Road,Orleans,Eastern Cottontail,Barnstable County,6/4/2019,Euthanized +24hr,Orphaned,1092,2019,2653
9 West Road,Orleans,Ruby-throated Hummingbird,Barnstable County,6/4/2019,Released,Entrapment - Building,1093,2019,2653
Unknown,Centerville,Osprey,Barnstable County,6/5/2019,Euthanized in 24hr,,1094,2019,
90 Pine Street,West Barnstable,Eastern Cottontail,Barnstable County,6/5/2019,Died +24hr,Animal Interaction - Cat,1095,2019,2668
Unknown,Orleans,Unidentified Woodpecker,Barnstable County,6/5/2019,Released,Orphaned,1096,2019,2653
Unknown,Chatham,Common Snapping Turtle,Barnstable County,6/5/2019,Euthanized in 24hr,Collision - Vehicle,1097,2019,
1 Luscumb Lane,Sandwich,Eastern Cottontail,Barnstable County,6/5/2019,Euthanized +24hr,,1098,2019,
43 Collingwood Drive,Yarmouthport,Downy Woodpecker,Barnstable County,6/5/2019,Died in 24hr,Orphaned,1099,2019,
Bridge Road,Eastham,Northern Cardinal,Barnstable County,6/6/2019,Died in 24hr,,1100,2019,
322 Holly Avenue,Brewster,Eastern Cottontail,Barnstable County,6/6/2019,Died in 24hr,Animal Interaction - Cat,1101,2019,2631
45 Whip O Will,Harwich,Eastern Chipmunk,Barnstable County,6/6/2019,Euthanized in 24hr,Animal Interaction - Dog,1102,2019,2645
Nelson Avenue,Provincetown,Eastern Chipmunk,Barnstable County,6/6/2019,Dead on arrival,,1103,2019,2642
Unknown,Orleans,Common Snapping Turtle,Barnstable County,6/6/2019,Dead on arrival,Collision - Vehicle,1104,2019,2651
Race Point Beach,Provincetown,Red-throated Loon,Barnstable County,6/6/2019,Died +24hr,Behavioral Stranding,1105,2019,
Rotary near the Provincetown Inn,Provincetown,Common Eider,Barnstable County,6/7/2019,Died in 24hr,,1106,2019,2657
Log Cabin Road,Eastham,Common Snapping Turtle,Barnstable County,6/7/2019,Transferred,Collision - Vehicle,1107,2019,2642
Power's Landing,Wellfleet,Common Eider,Barnstable County,6/7/2019,Died in 24hr,Behavioral Stranding,1108,2019,2667
31 Bowdoin Road,Mashpee,Northern Cardinal,Barnstable County,6/7/2019,Died in 24hr,Collision - Window,1109,2019,2635
Unknown,Unknown,Eastern Cottontail,,10/9/2019,Died in 24hr,Animal Interaction - Dog,1110,2019,
Unknown,Unknown,Eastern Cottontail,,6/7/2019,Transferred,Animal Interaction - Dog,1111,2019,
Unknown,Unknown,Eastern Cottontail,,6/7/2019,Transferred,Animal Interaction - Dog,1112,2019,
Unknown,Unknown,Eastern Cottontail,,6/7/2019,Transferred,Animal Interaction - Dog,1113,2019,
Unknown,Unknown,Eastern Cottontail,,6/7/2019,Transferred,Animal Interaction - Dog,1114,2019,
Unknown,Unknown,Eastern Cottontail,,6/7/2019,Transferred,Animal Interaction - Dog,1115,2019,
Unknown,Unknown,Eastern Cottontail,,6/7/2019,Transferred,Animal Interaction - Dog,1116,2019,
Nauset Beach,Orleans,Common Snapping Turtle,Barnstable County,6/7/2019,Transferred,Environmental,1117,2019,2631
Cape Cod Tech,Harwich,Eastern Cottontail,Barnstable County,6/7/2019,Euthanized in 24hr,,1118,2019,
102 Barrallel Street,Harwich,Eastern Cottontail,Barnstable County,6/7/2019,Transferred,"Animal Interaction - Dog, Orphaned",1119,2019,
102 Barrallel Street,Harwich,Eastern Cottontail,Barnstable County,6/7/2019,Transferred,"Animal Interaction - Dog, Orphaned",1120,2019,
12 Oak Lane,Orleans,Eastern Cottontail,Barnstable County,6/7/2019,Euthanized in 24hr,Animal Interaction - Cat,1121,2019,61006
6A,Barnstable,Eastern Cottontail,,6/7/2019,Transferred,,1122,2019,2536
6A,Barnstable,Eastern Cottontail,,6/7/2019,Transferred,,1123,2019,2536
6A,Barnstable,Eastern Cottontail,,6/7/2019,Transferred,,1124,2019,2536
6A,Barnstable,Eastern Cottontail,,6/7/2019,Transferred,,1125,2019,2536
522 Shore Road,Truro,Common Eider,Barnstable County,6/8/2019,Dead on arrival,,1126,2019,2118
2271 Main Street,Brewster,Eastern Cottontail,Barnstable County,6/8/2019,Transferred,Orphaned,1127,2019,
Unknown,Unknown,Eastern Cottontail,,6/8/2019,Transferred,,1128,2019,
Unknown,Unknown,Eastern Cottontail,,6/8/2019,Transferred,,1129,2019,
Unknown,Unknown,Eastern Cottontail,,6/8/2019,Transferred,,1130,2019,
Unknown,Unknown,Eastern Cottontail,,6/8/2019,Transferred,,1131,2019,
Unknown,Unknown,Eastern Cottontail,,6/8/2019,Transferred,,1132,2019,
Rock Harbor - Eastham side.,Eastham,Common Eider,Barnstable County,6/8/2019,Died in 24hr,,1133,2019,2642
15 Evergreen Lane,Chatham,American Crow,Barnstable County,6/8/2019,Euthanized in 24hr,,1134,2019,
15 Evergreen Lane,Chatham,American Crow,Barnstable County,6/8/2019,Euthanized in 24hr,,1135,2019,
Unknown,Yarmouth,Eastern Box Turtle,Middlesex County,6/8/2019,Euthanized in 24hr,Collision - Vehicle,1136,2019,2657
Unknown,Harwich,Common Snapping Turtle,Barnstable County,6/8/2019,Euthanized in 24hr,Collision - Vehicle,1137,2019,
29 Harvey's Lane,Orleans,Eastern Chipmunk,Barnstable County,6/9/2019,Euthanized in 24hr,Animal Interaction - Cat,1138,2019,2653
Unknown,Unknown,White-footed Mouse,,6/9/2019,Died in 24hr,,1139,2019,
Kingsbury Beach Road,Eastham,Virginia Opossum,Barnstable County,6/10/2019,Dead on arrival,Collision - Vehicle,1140,2019,2642
24 Pond Road,Orleans,Eastern Cottontail,Barnstable County,6/10/2019,Released,Animal Interaction,1141,2019,
80 Alston Avenue,Eastham,Common Snapping Turtle,Barnstable County,6/10/2019,Euthanized in 24hr,Collision - Vehicle,1142,2019,2642
2314 Main Street,Brewster,Ruby-throated Hummingbird,Barnstable County,6/10/2019,Dead on arrival,Collision - Window Screen,1143,2019,
Huntinglook Avenue,Yarmouthport,Rock Pigeon,Barnstable County,6/10/2019,Died in 24hr,"Orphaned, Disease",1144,2019,
Bayview Road,South Dennis,Mourning Dove,Barnstable County,6/10/2019,Euthanized in 24hr,orphan,1145,2019,2660
Near Rock Harbor neighborhood,Orleans,American Robin,Barnstable County,6/10/2019,Euthanized in 24hr,,1146,2019,2653
3644 Main Street,Brewster,Chipping Sparrow,Barnstable County,6/10/2019,Euthanized in 24hr,,1147,2019,2631
322 Holly Avenue,Brewster,Eastern Cottontail,Barnstable County,6/5/2019,Euthanized in 24hr,Animal Interaction - Cat,1148,2019,2631
5 Dover Lane,Plymouth,Black-capped Chickadee,Barnstable County,6/10/2019,Died in 24hr,Orphaned,1149,2019,
767 Harwich Road,Brewster,American Robin,Barnstable County,6/11/2019,Died in 24hr,Entrapment - Pool,1150,2019,2631
19 Crescent Ridge Way,South Orleans,Southern Flying Squirrel,Barnstable County,6/11/2019,Released,Entrapment - Building,1151,2019,2653
Hawksnest Road,Harwich,Eastern Chipmunk,Barnstable County,6/11/2019,Died in 24hr,,1152,2019,2645
Kents Point,Orleans,Eastern Cottontail,Barnstable County,6/11/2019,Transferred,Nest/Habitat Disturbed,1153,2019,2631
Kents Point,Orleans,Eastern Cottontail,Barnstable County,6/11/2019,Transferred,Nest/Habitat Disturbed,1154,2019,2631
Kents Point,Orleans,Eastern Cottontail,Barnstable County,6/11/2019,Transferred,Nest/Habitat Disturbed,1155,2019,2631
Nauset Marine,Orleans,House Finch,Barnstable County,6/11/2019,Died in 24hr,"Nest/Habitat Disturbed, Orphaned",1156,2019,2642
Nauset Marine,Orleans,House Finch,Barnstable County,6/11/2019,Died in 24hr,"Nest/Habitat Disturbed, Orphaned",1157,2019,2642
Nauset Marine,Orleans,House Finch,Barnstable County,6/11/2019,Died +24hr,"Nest/Habitat Disturbed, Orphaned",1158,2019,2642
Nauset Marine,Orleans,House Finch,Barnstable County,6/11/2019,Dead on arrival,"Nest/Habitat Disturbed, Orphaned",1159,2019,2642
Nauset Marine,Orleans,House Finch,Barnstable County,6/11/2019,Dead on arrival,"Nest/Habitat Disturbed, Orphaned",1160,2019,2642
Orleans Toyota,Orleans,White-footed Mouse,Barnstable County,6/11/2019,Euthanized in 24hr,"Orphaned, Parent Known Dead",1161,2019,2645
Orleans Toyota,Orleans,White-footed Mouse,Barnstable County,6/11/2019,Euthanized in 24hr,"Orphaned, Parent Known Dead",1162,2019,2645
Rock Harbor Road,Orleans,Gray Catbird,Barnstable County,6/11/2019,Released,Collision - Vehicle,1163,2019,2653
Nauset Road,Wellfleet,Common Grackle,Barnstable County,6/11/2019,Died in 24hr,,1164,2019,2660
Route 6  Exit 12,Orleans,Wild Turkey,Barnstable County,6/11/2019,Dead on arrival,Collision - Vehicle,1165,2019,
25 Bridge Road,Eastham,American Robin,Barnstable County,6/12/2019,Died in 24hr,Orphaned,1166,2019,2642
Unknown,Brewster,Raccoon,Barnstable County,6/12/2019,Transferred,"Entrapment, Orphaned",1167,2019,
Unknown,Wellfleet,Southern Flying Squirrel,Barnstable County,6/12/2019,Died in 24hr,,1168,2019,
Unknown,Wellfleet,Southern Flying Squirrel,Barnstable County,6/12/2019,Euthanized in 24hr,,1169,2019,
5 South East Street,Eastham,Eastern Cottontail,Barnstable County,6/12/2019,Transferred,Nest/Habitat Disturbed,1170,2019,2631
175 Searsville Road,South Dennis,White-footed Mouse,Barnstable County,5/20/2019,Died in 24hr,Poisoning,1171,2019,2660
Ssquatucket Bluffs,Harwich,Mourning Dove,Barnstable County,5/21/2019,Died in 24hr,Nest/Habitat Disturbed,1172,2019,
1220 Route 6,Eastham,Eastern Cottontail,Hartford County,6/2/2019,Transferred,Nest/Habitat Disturbed,1173,2019,33060
34 Country Lane,Brewster,Eastern Cottontail,Barnstable County,6/2/2019,Transferred,Nest/Habitat Disturbed,1174,2019,2631
118 Fox Meadow Drive,Brewster,Eastern Cottontail,Barnstable County,6/2/2019,Released,,1175,2019,2631
Wing Island,Brewster,Common Loon,Barnstable County,6/12/2019,Died +24hr,Behavioral Stranding,1176,2019,
Bike Trail,Orleans,Chipping Sparrow,Barnstable County,6/12/2019,Died +24hr,"Inappropriate Human Possession,orphan",1177,2019,2653
18 Freedom Trail,Orleans,Eastern Cottontail,Barnstable County,6/12/2019,Euthanized in 24hr,Nest/Habitat Disturbed,1178,2019,
18 Freedom Trail,Orleans,Eastern Cottontail,Barnstable County,6/12/2019,Euthanized in 24hr,Nest/Habitat Disturbed,1179,2019,
7 Connemara Way,South Yarmouth,Eastern Cottontail,Barnstable County,6/12/2019,Euthanized in 24hr,Animal Interaction - Cat,1180,2019,2673
25A Doane Road,East Orleans,Eastern Chipmunk,Barnstable County,6/12/2019,Died in 24hr,,1181,2019,2643
Nickerson Road,Orleans,Eastern Cottontail,Barnstable County,6/13/2019,Died in 24hr,Animal Interaction - Cat,1182,2019,2653
By the Court House,Orleans,Eastern Cottontail,Barnstable County,6/13/2019,Euthanized in 24hr,,1183,2019,2642
445 Kingsbury Beach Road,Eastham,White-footed Mouse,Barnstable County,6/13/2019,Died +24hr,Orphaned,1184,2019,2642
Unknown,Wellfleet,Blue Jay,Barnstable County,6/14/2019,Died in 24hr,Collision - Vehicle,1185,2019,
45 Sands Road,Eastham,Wild Turkey,Barnstable County,6/14/2019,Died in 24hr,"Orphaned, Injured",1186,2019,2642
696 Main Street,Brewster,Eastern Cottontail,Barnstable County,6/14/2019,Released,Entrapment,1187,2019,2633
Hopkins Lane,East Orleans,Common Snapping Turtle,Barnstable County,6/14/2019,Euthanized in 24hr,Collision - Vehicle,1188,2019,2643
Bayshore Sandcastle,Truro,Common Eider,Barnstable County,6/14/2019,Died in 24hr,Projectile,1189,2019,2657
14 Main Street,Orleans,Baltimore Oriole,Barnstable County,6/15/2019,Released,Orphaned,1190,2019,2653
Mid-Cape Highway,Eastham,Northern Flicker,Barnstable County,6/16/2019,Euthanized in 24hr,Collision - Vehicle,1191,2019,80525
9 Old Tote Road,Orleans,American Robin,Barnstable County,6/19/2019,Released,Orphaned,1192,2019,2653
Alston Avenue,Eastham,Eastern Gray Squirrel,Barnstable County,6/21/2019,Released,,1193,2019,
Linnell Landing,Brewster,Eastern Cottontail,Barnstable County,6/30/2019,Dead on arrival,,1194,2019,2631
Mary Dunn Road,Hyannis,Gray Catbird,Barnstable County,6/30/2019,Died +24hr,"Fell from Nest,orphan",1195,2019,
North Falmouth Village,North Falmouth,European Starling,Barnstable County,6/30/2019,Died +24hr,Orphaned,1196,2019,
Ballston Beach,Truro,Northern Gannet,Barnstable County,6/30/2019,Died +24hr,Disease,1197,2019,
Skaket Road near West Road,Orleans,Red-winged Blackbird,Barnstable County,7/1/2019,Euthanized in 24hr,Collision - Vehicle,1198,2019,2651
251 Castlewood Circle,Hyannis,Wild Turkey,Barnstable County,7/1/2019,Died in 24hr,Orphaned,1199,2019,2601
Wakeby Road,Marstons Mills,Barn Swallow,Barnstable County,7/1/2019,Released,Entrapment - Chicken Coop,1200,2019,2648
